class,test_imgs,test_sources,shared_sources,pct_test_sources_leaked,pct_test_images_leaked
Apple___Apple_scab,252,222,222,100.0,100.0
Apple___Black_rot,249,215,213,99.07,97.99
Apple___Cedar_apple_rust,220,157,157,100.0,100.0
Apple___healthy,251,241,141,58.51,56.18
Blueberry___healthy,227,209,82,39.23,44.05
Cherry_(including_sour)___Powdery_mildew,211,199,165,82.91,78.2
Cherry_(including_sour)___healthy,228,207,190,91.79,92.11
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,205,175,174,99.43,99.51
Corn_(maize)___Common_rust_,239,224,188,83.93,78.66
Corn_(maize)___Northern_Leaf_Blight,239,212,172,81.13,80.33
Corn_(maize)___healthy,233,222,187,84.23,80.26
Grape___Black_rot,236,222,188,84.68,79.66
Grape___Esca_(Black_Measles),240,231,173,74.89,72.08
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),215,203,168,82.76,78.14
Grape___healthy,212,182,182,100.0,100.0
Orange___Haunglongbing_(Citrus_greening),252,252,0,0.0,0.0
Peach___Bacterial_spot,230,230,0,0.0,0.0
Peach___healthy,216,166,166,100.0,100.0
"Pepper,_bell___Bacterial_spot",239,223,184,82.51,82.85
"Pepper,_bell___healthy",249,233,94,40.34,44.18
Potato___Early_blight,243,229,186,81.22,81.48
Potato___Late_blight,243,220,186,84.55,84.36
Potato___healthy,228,123,123,100.0,100.0
Raspberry___healthy,223,164,164,100.0,100.0
Soybean___healthy,253,253,0,0.0,0.0
Squash___Powdery_mildew,217,213,58,27.23,26.73
Strawberry___Leaf_scorch,222,205,172,83.9,77.48
Strawberry___healthy,228,187,187,100.0,100.0
Tomato___Bacterial_spot,213,213,0,0.0,0.0
Tomato___Early_blight,240,224,188,83.93,84.58
Tomato___Late_blight,232,229,65,28.38,28.02
Tomato___Leaf_Mold,235,221,196,88.69,88.51
Tomato___Septoria_leaf_spot,218,212,55,25.94,27.06
Tomato___Spider_mites Two-spotted_spider_mite,218,208,71,34.13,37.16
Tomato___Target_Spot,229,212,89,41.98,46.29
Tomato___Tomato_Yellow_Leaf_Curl_Virus,245,245,0,0.0,0.0
Tomato___Tomato_mosaic_virus,224,176,176,100.0,100.0
Tomato___healthy,241,223,88,39.46,43.98
